"","x"
"Mouse3001",4.361187985
"Mouse3002",28.43120124
"Mouse3003",53.65342377
"Mouse3004",8.061911337
"Mouse3005",15.88679187
"Mouse3006",8.683286123
"Mouse3007",15.16839404
"Mouse3008",48.89337817
"Mouse3009",10.17618296
"Mouse3010",7.01664816
"Mouse3011",12.0725828
"Mouse3012",19.50272605
"Mouse3013",17.69663682
"Mouse3014",28.04883113
"Mouse3015",12.62039563
"Mouse3016",17.51127176
"Mouse3017",2.791839
"Mouse3018",10.3054328515834
"Mouse3019",2.77456071007182
"Mouse3020",6.33534359506752
"Mouse3021",17.0560954738045
"Mouse3022",14.8505135535857
"Mouse3023",13.2651364830984
"Mouse3024",5.8136255044157
"Mouse3025",6.00042300103985
"Mouse3026",9.77712231349687
"Mouse3027",12.8715338262567
"Mouse3028",15.165798663878
"Mouse3029",7.648215
"Mouse3030",5.20172078242537
"Mouse3031",NA
"Mouse3032",NA
"Mouse3033",8.64551
"Mouse3034",3.43046913489409
"Mouse3035",11.9413141813373
"Mouse3036",5.39870004628167
"Mouse3037",8.61056972008306
"Mouse3038",19.9224611817106
"Mouse3039",14.7886005289196
"Mouse3040",9.35582125086503
"Mouse3041",2.48773817998035
"Mouse3042",20.5347586260407
"Mouse3043",20.063388317276
"Mouse3044",15.1791732641439
"Mouse3045",10.79155
"Mouse3046",34.0805320167618
"Mouse3047",50.6099581646991
"Mouse3048",9.34324823679417
"Mouse3049",4.94309497031626
"Mouse3050",16.7195006553704
"Mouse3051",25.0330216494392
"Mouse3052",15.3138618570902
"Mouse3053",4.3123429375922
"Mouse3054",5.49570002224571
"Mouse3055",19.4190341499895
"Mouse3056",3.95661417803281
"Mouse3057",NA
"Mouse3058",NA
"Mouse3059",NA
"Mouse3060",NA
"Mouse3061",NA
"Mouse3062",NA
"Mouse3063",NA
"Mouse3064",NA
"Mouse3065",12.7956222564764
"Mouse3066",9.36611361677176
"Mouse3067",28.64827
"Mouse3068",10.1341976162895
"Mouse3069",2.57369206417358
"Mouse3070",19.1678214398184
"Mouse3071",90.5274
"Mouse3072",12.2041
"Mouse3073",4.11253
"Mouse3074",11.2242
"Mouse3075",14.3223
"Mouse3076",8.469
"Mouse3077",15.5576
"Mouse3078",8.38689
"Mouse3079",7.413313114
"Mouse3080",6.384751133
"Mouse3081",7.16485059
"Mouse3082",12.46741222
"Mouse3083",1.591590171
"Mouse3084",4.598029718
"Mouse3085",21.27183136
"Mouse3086",7.121710561
"Mouse3087",1.907151682
"Mouse3088",8.672932513
"Mouse3089",2.044621704
"Mouse3090",3.579575383
"Mouse3091",0.973283137
"Mouse3092",4.716795299
"Mouse3093",4.037726177
"Mouse3094",22.44936392
"Mouse3095",1.666435306
"Mouse3096",1.363200948
"Mouse3097",0.662564301
"Mouse3098",12.22732356
"Mouse3099",4.274974384
"Mouse3100",7.404256417
"Mouse3101",16.20773273
"Mouse3102",2.53289476
"Mouse3103",6.321735855
"Mouse3104",62.58497502
"Mouse3105",34.0841289
"Mouse3106",12.69859115
"Mouse3107",8.490339853
"Mouse3108",8.261997095
"Mouse3109",25.03488022
"Mouse3110",4.653643528
"Mouse3111",11.1328137
"Mouse3112",9.41916346
"Mouse3113",24.8564053
"Mouse3114",16.7689608
"Mouse3115",23.4442936
"Mouse3116",23.9389568
"Mouse3117",10.9577551
"Mouse3118",36.8106243
"Mouse3119",12.0064081
"Mouse3120",14.3505786
"Mouse3121",1.534595334
"Mouse3122",3.060864903
"Mouse3123",4.900846601
"Mouse3124",3.246487868
"Mouse3125",11.32392251
"Mouse3126",6.243926454
"Mouse3127",12.69193003
"Mouse3128",4.037268663
"Mouse3129",4.780756587
"Mouse3130",3.268265363
"Mouse3131",25.39598816
"Mouse3132",20.57840987
"Mouse3133",18.75046834
"Mouse3134",15.06738606
"Mouse3135",6.548408803
"Mouse3136",31.25307538
"Mouse3137",12.65476306
"Mouse3138",7.41078021
"Mouse3139",3.799950115
"Mouse3140",12.48245208
"Mouse3141",8.968361275
"Mouse3142",54.23924025
"Mouse3143",7.644581731
"Mouse3144",19.17893685
"Mouse3145",60.63474138
"Mouse3146",4.566079657
"Mouse3147",5.28912531
"Mouse3148",NA
"Mouse3149",6.953822342
"Mouse3150",2.190529096
"Mouse3151",12.42066947
"Mouse3152",2.06398634
"Mouse3153",1.655877241
"Mouse3154",1.67368265
"Mouse3155",5.599498282
"Mouse3156",4.675922681
"Mouse3157",5.861189568
"Mouse3158",45.89127383
"Mouse3159",5.793364499
"Mouse3160",6.265067974
"Mouse3161",21.62489223
"Mouse3162",6.472150374
"Mouse3163",37.34784419
"Mouse3164",36.00143106
"Mouse3165",2.275800253
"Mouse3166",9.187372458
"Mouse3167",6.140102963
"Mouse3168",21.63369673
"Mouse3169",13.53639514
"Mouse3170",20.96810947
"Mouse3171",19.09696026
"Mouse3172",4.450375139
"Mouse3173",3.935318115
"Mouse3174",32.472138
"Mouse3175",38.36808299
"Mouse3176",28.76745235
"Mouse3177",2.678141213
"Mouse3178",1.865290774
"Mouse3179",17.84485541
"Mouse3180",4.765340113
"Mouse3181",1.764241083
"Mouse3182",1.843546204
"Mouse3183",2.334281389
"Mouse3184",3.486780666
"Mouse3185",5.110383932
"Mouse3186",6.396958275
"Mouse3187",2.55342706
"Mouse3188",4.016934075
"Mouse3189",41.50439983
"Mouse3190",9.281978789
"Mouse3191",26.65926225
"Mouse3192",38.65932237
"Mouse3193",11.03367459
"Mouse3194",7.180155712
"Mouse3195",9.340539743
"Mouse3196",26.59849685
"Mouse3197",15.06983738
"Mouse3198",2.734824928
"Mouse3199",22.59980492
"Mouse3200",9.672053607
"Mouse3201",1.96777193
"Mouse3202",1.586259734
"Mouse3203",51.36642449
"Mouse3204",10.71212012
"Mouse3205",20.43846385
"Mouse3206",18.05022057
"Mouse3207",14.12532801
"Mouse3208",18.50545895
"Mouse3209",35.7142
"Mouse3210",6.53646
"Mouse3211",11.9857
"Mouse3212",40.3304
"Mouse3213",9.68633
"Mouse3214",8.08997
"Mouse3215",24.0407
"Mouse3216",33.7108
"Mouse3217",14.4072
"Mouse3218",1.18297
"Mouse3219",3.06966
"Mouse3220",44.9236
"Mouse3221",1.99188
"Mouse3222",5.35893
"Mouse3223",3.816800827
"Mouse3224",47.39345399
"Mouse3225",22.17202698
"Mouse3226",43.1397702
"Mouse3227",14.44268632
"Mouse3228",14.95952942
"Mouse3229",17.91376439
"Mouse3230",4.790397943
"Mouse3231",42.02493331
"Mouse3232",27.30969805
"Mouse3233",12.34305499
"Mouse3234",39.93458848
"Mouse3235",33.2004832842642
"Mouse3236",39.3368141598805
"Mouse3237",9.01957299719747
"Mouse3238",33.3415200302226
"Mouse3239",20.0118041166131
"Mouse3240",8.60601870798165
"Mouse3241",4.57507041599908
"Mouse3242",46.0381660496838
"Mouse3243",7.113533
"Mouse3244",5.9055465872794
"Mouse3245",18.729648023185
"Mouse3246",2.56421791027901
"Mouse3247",13.3463895513683
"Mouse3248",4.27401085003396
"Mouse3249",2.7432832847693
"Mouse3250",5.75191445134909
"Mouse3251",21.2802363022029
"Mouse3252",12.9780054994915
"Mouse3253",5.72054031759288
"Mouse3254",3.24112639606702
"Mouse3255",14.6513627611252
"Mouse3256",6.30850954637939
"Mouse3257",18.92026125
"Mouse3258",7.137735274
"Mouse3259",31.19462894
"Mouse3260",2.581083791
"Mouse3261",3.338021632
"Mouse3262",3.998539335
"Mouse3263",3.317970195
"Mouse3264",6.258359431
"Mouse3265",4.361536307
"Mouse3266",3.353047122
"Mouse3267",15.82218493
"Mouse3268",13.45434449
"Mouse3269",3.199762571
"Mouse3270",3.275294453
"Mouse3271",9.157477644
"Mouse3272",6.114970856
"Mouse3273",7.07636865
"Mouse3274",1.787673948
"Mouse3275",2.535563701
"Mouse3276",1.830407523
"Mouse3277",2.252551987
"Mouse3278",24.46679835
"Mouse3279",12.71497703
"Mouse3280",5.897859643
"Mouse3281",8.406505497
"Mouse3282",17.10456952
"Mouse3283",4.320088626
"Mouse3284",2.14208524
"Mouse3285",24.81297785
"Mouse3286",37.00173204
"Mouse3287",4.40691531
"Mouse3288",3.167729423
"Mouse3289",7.32541624
"Mouse3290",33.49372477
"Mouse3291",12.88955754
"Mouse3292",2.58603494
"Mouse3293",22.23413394
"Mouse3294",28.23066295
"Mouse3295",23.93710567
"Mouse3296",6.960989558
"Mouse3297",22.60637691
"Mouse3298",4.487437095
"Mouse3299",26.64328583
"Mouse3300",2.586648128
"Mouse3301",3.04569155
"Mouse3302",5.534022153
"Mouse3303",2.255493633
"Mouse3304",4.950810288
"Mouse3305",11.25894249
"Mouse3306",2.156697567
"Mouse3307",3.40709061
"Mouse3308",30.8713414
"Mouse3309",12.86763655
"Mouse3310",1.987224054
"Mouse3311",11.11971856
"Mouse3312",8.705293056
"Mouse3313",3.3440326
"Mouse3314",15.4080332
"Mouse3315",2.179123813
"Mouse3316",2.474162504
"Mouse3317",2.243657622
"Mouse3318",2.48068177
"Mouse3319",2.268638539
"Mouse3320",7.623198746
"Mouse3321",2.068125194
"Mouse3322",11.35443358
"Mouse3323",3.942277972
"Mouse3324",2.367017612
"Mouse3325",27.59445699
"Mouse3326",5.662328173
"Mouse3327",3.050797198
"Mouse3328",6.09449019
"Mouse3329",45.59776072
"Mouse3330",5.953129473
"Mouse3331",2.713335839
"Mouse3332",9.236436588
"Mouse3333",12.68778124
"Mouse3334",16.54167033
"Mouse3335",19.36921032
"Mouse3336",12.89402946
"Mouse3337",30.80291828
"Mouse3338",4.433573704
"Mouse3339",15.17684199
"Mouse3340",4.637655349
"Mouse3341",14.78941085
"Mouse3342",1.630860679
"Mouse3343",6.946821719
"Mouse3344",14.81609238
"Mouse3345",1.994311943
"Mouse3346",5.15670753
"Mouse3347",3.837753737
"Mouse3348",2.60944461
"Mouse3349",6.178302688
"Mouse3350",5.164659631
"Mouse3351",3.74858393
"Mouse3352",4.916038474
"Mouse3353",15.88568339
"Mouse3354",5.229336366
"Mouse3355",3.34692256
"Mouse3356",2.672567202
"Mouse3357",6.788375018
"Mouse3358",4.963389993
"Mouse3359",8.406269205
"Mouse3360",22.04176153
"Mouse3361",12.99203916
"Mouse3362",2.951411088
"Mouse3363",3.016434602
"Mouse3364",3.632267243
"Mouse3365",32.39458761
"Mouse3366",2.435763595
"Mouse3367",26.55932753
"Mouse3368",4.189805735
"Mouse3369",7.285005264
"Mouse3370",10.98383781
"Mouse3371",2.598649045
"Mouse3372",76.89997954
"Mouse3373",13.11602178
"Mouse3374",20.42702025
"Mouse3375",9.438362467
"Mouse3376",8.907040408
"Mouse3377",21.50391685
"Mouse3378",9.87407408
"Mouse3379",NA
"Mouse3380",NA
"Mouse3381",9.912955487
"Mouse3382",4.265082918
"Mouse3383",25.19365778
"Mouse3384",10.6378176
"Mouse3385",2.477150231
"Mouse3386",3.084213242
"Mouse3387",2.808370209
"Mouse3388",2.38281384
"Mouse3389",131.8391404
"Mouse3390",8.982833898
"Mouse3391",NA
"Mouse3392",NA
"Mouse3393",21.75901809
"Mouse3394",6.196423893
"Mouse3395",25.16532618
"Mouse3396",7.816486266
"Mouse3397",6.62658196
"Mouse3398",12.9843912
"Mouse3399",42.58483468
"Mouse3400",6.396519722
"Mouse3401",14.29552285
"Mouse3402",13.4964206
"Mouse3403",5.378307946
"Mouse3404",9.443119052
"Mouse3405",10.45536267
"Mouse3406",3.286805011
"Mouse3407",19.14769082
"Mouse3408",9.898540237
"Mouse3409",9.87431246
"Mouse3410",19.563429
"Mouse3411",14.32426662
"Mouse3412",3.820094111
"Mouse3413",6.571090237
"Mouse3414",23.4560056
"Mouse3415",9.695863658
"Mouse3416",26.69524072
"Mouse3417",NA
"Mouse3418",NA
"Mouse3419",7.928334
"Mouse3420",9.336441327
"Mouse3421",5.063902222
"Mouse3422",8.681178595
"Mouse3423",NA
"Mouse3424",NA
"Mouse3425",10.54252616
"Mouse3426",44.59508525
"Mouse3427",38.59288482
"Mouse3428",14.73856654
"Mouse3429",7.851558581
"Mouse3430",7.244085995
"Mouse3431",7.207949132
"Mouse3432",4.00234368
"Mouse3433",10.81313967
"Mouse3434",4.970225259
"Mouse3435",2.298982504
"Mouse3436",50.98998305
"Mouse3437",3.257031752
"Mouse3438",3.962978671
"Mouse3439",8.248381491
"Mouse3440",3.742206753
"Mouse3441",1.527662536
"Mouse3442",2.539995116
"Mouse3443",7.93353279
"Mouse3444",4.98344738
"Mouse3445",NA
"Mouse3446",NA
"Mouse3447",3.288570233
"Mouse3448",5.878133636
"Mouse3449",10.35556
"Mouse3450",8.37112013227881
"Mouse3451",10.3163667138081
"Mouse3452",17.9658249496679
"Mouse3453",7.97633586110296
