"","x"
"Mouse3001",NA
"Mouse3002",NA
"Mouse3003",NA
"Mouse3004",NA
"Mouse3005",NA
"Mouse3006",NA
"Mouse3007",NA
"Mouse3008",NA
"Mouse3009",NA
"Mouse3010",NA
"Mouse3011",NA
"Mouse3012",NA
"Mouse3013",NA
"Mouse3014",NA
"Mouse3015",NA
"Mouse3016",NA
"Mouse3017",NA
"Mouse3018",NA
"Mouse3019",NA
"Mouse3020",NA
"Mouse3021",NA
"Mouse3022",NA
"Mouse3023",NA
"Mouse3024",NA
"Mouse3025",NA
"Mouse3026",NA
"Mouse3027",NA
"Mouse3028",NA
"Mouse3029",NA
"Mouse3030",NA
"Mouse3031",NA
"Mouse3032",NA
"Mouse3033",NA
"Mouse3034",NA
"Mouse3035",NA
"Mouse3036",NA
"Mouse3037",NA
"Mouse3038",NA
"Mouse3039",NA
"Mouse3040",NA
"Mouse3041",NA
"Mouse3042",NA
"Mouse3043",NA
"Mouse3044",NA
"Mouse3045",6.5664179
"Mouse3046",20.64761159
"Mouse3047",32.14542066
"Mouse3048",NA
"Mouse3049",1.768290837
"Mouse3050",9.584509592
"Mouse3051",11.63511441
"Mouse3052",9.744125592
"Mouse3053",3.227801147
"Mouse3054",4.173604492
"Mouse3055",12.98184601
"Mouse3056",2.117974025
"Mouse3057",NA
"Mouse3058",NA
"Mouse3059",NA
"Mouse3060",NA
"Mouse3061",NA
"Mouse3062",NA
"Mouse3063",NA
"Mouse3064",NA
"Mouse3065",NA
"Mouse3066",NA
"Mouse3067",NA
"Mouse3068",NA
"Mouse3069",NA
"Mouse3070",NA
"Mouse3071",NA
"Mouse3072",NA
"Mouse3073",NA
"Mouse3074",NA
"Mouse3075",NA
"Mouse3076",NA
"Mouse3077",NA
"Mouse3078",NA
"Mouse3079",NA
"Mouse3080",NA
"Mouse3081",3.821913172
"Mouse3082",7.455777088
"Mouse3083",1.761471123
"Mouse3084",3.236483308
"Mouse3085",NA
"Mouse3086",NA
"Mouse3087",NA
"Mouse3088",NA
"Mouse3089",NA
"Mouse3090",NA
"Mouse3091",NA
"Mouse3092",NA
"Mouse3093",2.548006751
"Mouse3094",10.34808104
"Mouse3095",1.64072736
"Mouse3096",1.528076126
"Mouse3097",1.251727239
"Mouse3098",7.126980828
"Mouse3099",NA
"Mouse3100",NA
"Mouse3101",NA
"Mouse3102",NA
"Mouse3103",NA
"Mouse3104",NA
"Mouse3105",NA
"Mouse3106",NA
"Mouse3107",NA
"Mouse3108",NA
"Mouse3109",NA
"Mouse3110",NA
"Mouse3111",6.10842955
"Mouse3112",9.618967261
"Mouse3113",17.08251807
"Mouse3114",11.198524
"Mouse3115",NA
"Mouse3116",NA
"Mouse3117",6.147922071
"Mouse3118",32.53471259
"Mouse3119",10.11141041
"Mouse3120",10.68710458
"Mouse3121",1.651569107
"Mouse3122",2.641489285
"Mouse3123",3.532549755
"Mouse3124",2.834237035
"Mouse3125",8.819087975
"Mouse3126",5.435429259
"Mouse3127",11.41122595
"Mouse3128",2.285450073
"Mouse3129",3.825649204
"Mouse3130",2.589140755
"Mouse3131",11.32015851
"Mouse3132",14.09642953
"Mouse3133",11.47526267
