"","x"
"Mouse3051",1
"Mouse3551",1
"Mouse3430",1
"Mouse3476",1
"Mouse3414",1
"Mouse3145",0
"Mouse3656",0
"Mouse3242",1
"Mouse3427",0
"Mouse3527",0
"Mouse3281",1
"Mouse3405",1
"Mouse3530",1
"Mouse3477",1
"Mouse3498",1
"Mouse3526",0
"Mouse3284",1
"Mouse3160",1
"Mouse3655",0
"Mouse3615",0
"Mouse3491",0
"Mouse3603",1
"Mouse3191",0
"Mouse3130",1
"Mouse3330",1
"Mouse3199",1
"Mouse3614",1
"Mouse3230",1
"Mouse3577",0
"Mouse3081",1
"Mouse3204",0
"Mouse3513",0
"Mouse3219",1
"Mouse3331",1
"Mouse3394",1
"Mouse3301",0
"Mouse3503",1
"Mouse3083",1
"Mouse3568",1
"Mouse3189",0
"Mouse3287",0
"Mouse3131",0
"Mouse3311",1
"Mouse3357",0
"Mouse3149",1
"Mouse3256",1
"Mouse3644",1
"Mouse3217",1
"Mouse3212",0
"Mouse3082",1
"Mouse3156",1
"Mouse3396",1
"Mouse3535",0
"Mouse3481",0
"Mouse3123",0
"Mouse3359",0
"Mouse3411",0
"Mouse3555",1
"Mouse3597",0
"Mouse3624",1
"Mouse3314",0
"Mouse3128",1
"Mouse3531",1
"Mouse3295",1
"Mouse3231",1
"Mouse3496",0
"Mouse3438",1
"Mouse3183",1
"Mouse3052",1
"Mouse3237",0
"Mouse3462",0
"Mouse3293",0
"Mouse3543",0
"Mouse3276",1
"Mouse3200",1
"Mouse3502",0
"Mouse3171",0
"Mouse3364",1
"Mouse3524",0
"Mouse3334",0
"Mouse3355",0
"Mouse3254",1
"Mouse3358",0
"Mouse3468",1
"Mouse3192",0
"Mouse3214",1
"Mouse3536",0
"Mouse3606",0
"Mouse3226",0
"Mouse3393",1
"Mouse3415",1
"Mouse3266",0
"Mouse3648",1
"Mouse3224",0
"Mouse3474",1
"Mouse3381",0
"Mouse3138",1
"Mouse3660",1
"Mouse3616",0
"Mouse3425",0
"Mouse3554",0
"Mouse3196",0
"Mouse3528",0
"Mouse3312",1
"Mouse3045",0
"Mouse3585",0
"Mouse3471",0
"Mouse3308",1
"Mouse3628",1
"Mouse3429",1
"Mouse3324",0
"Mouse3124",0
"Mouse3291",1
"Mouse3452",1
"Mouse3373",0
"Mouse3317",0
"Mouse3367",1
"Mouse3338",1
"Mouse3579",0
"Mouse3647",1
"Mouse3470",0
"Mouse3169",0
"Mouse3335",0
"Mouse3122",0
"Mouse3635",1
"Mouse3296",1
"Mouse3154",0
"Mouse3484",1
"Mouse3652",0
"Mouse3612",1
"Mouse3668",1
"Mouse3233",1
"Mouse3175",1
"Mouse3306",1
"Mouse3046",0
"Mouse3495",0
"Mouse3663",0
"Mouse3165",1
"Mouse3519",1
"Mouse3592",0
"Mouse3127",1
"Mouse3184",1
"Mouse3650",1
"Mouse3599",0
"Mouse3494",1
"Mouse3605",0
"Mouse3505",1
"Mouse3573",0
"Mouse3561",0
"Mouse3489",0
"Mouse3480",0
"Mouse3186",1
"Mouse3421",0
"Mouse3607",0
"Mouse3346",1
"Mouse3375",0
"Mouse3633",0
"Mouse3589",1
"Mouse3094",1
"Mouse3611",1
"Mouse3307",1
"Mouse3133",0
"Mouse3407",1
"Mouse3152",0
"Mouse3518",0
"Mouse3406",1
"Mouse3209",0
"Mouse3056",1
"Mouse3320",0
"Mouse3365",0
"Mouse3313",0
"Mouse3441",1
"Mouse3339",1
"Mouse3352",1
"Mouse3159",1
"Mouse3619",1
"Mouse3238",0
"Mouse3203",0
"Mouse3137",1
"Mouse3509",0
"Mouse3412",0
"Mouse3289",0
"Mouse3054",1
"Mouse3432",1
"Mouse3487",0
"Mouse3179",1
"Mouse3572",1
"Mouse3285",0
"Mouse3466",1
"Mouse3252",1
"Mouse3517",0
"Mouse3398",1
"Mouse3402",0
"Mouse3546",0
"Mouse3185",1
"Mouse3665",0
"Mouse3537",0
"Mouse3096",1
"Mouse3600",0
"Mouse3349",0
"Mouse3098",1
"Mouse3275",1
"Mouse3399",0
"Mouse3667",1
"Mouse3342",1
"Mouse3333",0
"Mouse3300",1
"Mouse3244",1
"Mouse3478",1
"Mouse3560",1
"Mouse3501",0
"Mouse3315",0
"Mouse3440",1
"Mouse3669",1
"Mouse3486",1
"Mouse3409",0
"Mouse3632",0
"Mouse3319",0
"Mouse3475",1
"Mouse3453",1
"Mouse3172",0
"Mouse3121",0
"Mouse3590",1
"Mouse3215",1
"Mouse3447",0
"Mouse3618",0
"Mouse3340",1
"Mouse3047",0
"Mouse3666",0
"Mouse3516",0
"Mouse3390",0
"Mouse3225",0
"Mouse3167",1
"Mouse3207",1
"Mouse3631",0
"Mouse3444",0
"Mouse3168",1
"Mouse3298",1
"Mouse3602",1
"Mouse3309",1
"Mouse3416",1
"Mouse3260",1
"Mouse3146",0
"Mouse3374",0
"Mouse3144",0
"Mouse3485",1
"Mouse3610",1
"Mouse3621",1
"Mouse3395",1
"Mouse3348",1
"Mouse3500",0
"Mouse3613",1
"Mouse3253",1
"Mouse3420",1
"Mouse3384",1
"Mouse3664",0
"Mouse3206",0
"Mouse3426",0
"Mouse3332",1
"Mouse3210",0
"Mouse3283",1
"Mouse3670",1
"Mouse3120",1
"Mouse3274",0
"Mouse3461",0
"Mouse3202",1
"Mouse3472",0
"Mouse3437",1
"Mouse3434",0
"Mouse3593",0
"Mouse3055",1
"Mouse3234",1
"Mouse3422",0
"Mouse3571",1
"Mouse3236",0
"Mouse3049",1
"Mouse3350",0
"Mouse3249",0
"Mouse3326",0
"Mouse3134",0
"Mouse3143",0
"Mouse3493",1
"Mouse3361",1
"Mouse3636",1
"Mouse3436",0
"Mouse3510",0
"Mouse3117",1
"Mouse3601",1
"Mouse3397",1
"Mouse3303",1
"Mouse3497",1
"Mouse3544",0
"Mouse3463",1
"Mouse3118",1
"Mouse3354",0
"Mouse3162",0
"Mouse3464",1
"Mouse3181",1
"Mouse3188",1
"Mouse3356",0
"Mouse3521",1
"Mouse3591",0
"Mouse3241",1
"Mouse3467",1
"Mouse3469",0
"Mouse3262",0
"Mouse3643",1
"Mouse3548",0
"Mouse3372",0
"Mouse3542",1
"Mouse3563",0
"Mouse3583",1
"Mouse3584",1
"Mouse3208",1
"Mouse3661",1
"Mouse3659",1
"Mouse3195",0
"Mouse3459",1
"Mouse3653",0
"Mouse3649",1
"Mouse3377",1
"Mouse3382",0
"Mouse3180",1
"Mouse3386",1
"Mouse3084",1
"Mouse3205",0
"Mouse3299",1
"Mouse3515",0
"Mouse3540",0
"Mouse3255",1
"Mouse3177",1
"Mouse3523",0
"Mouse3366",0
"Mouse3567",1
"Mouse3557",1
"Mouse3114",0
"Mouse3623",1
"Mouse3419",1
"Mouse3580",0
"Mouse3271",1
"Mouse3385",1
"Mouse3492",0
"Mouse3119",1
"Mouse3232",1
"Mouse3598",0
"Mouse3150",1
"Mouse3310",1
"Mouse3164",0
"Mouse3587",0
"Mouse3050",1
"Mouse3627",1
"Mouse3506",1
"Mouse3413",1
"Mouse3435",0
"Mouse3151",0
"Mouse3112",0
"Mouse3630",1
"Mouse3389",0
"Mouse3646",1
"Mouse3223",0
"Mouse3187",1
"Mouse3263",0
"Mouse3637",1
"Mouse3662",1
"Mouse3508",1
"Mouse3550",0
"Mouse3125",1
"Mouse3545",0
"Mouse3570",1
"Mouse3641",0
"Mouse3136",0
"Mouse3322",1
"Mouse3626",0
"Mouse3166",1
"Mouse3269",1
"Mouse3529",1
"Mouse3218",1
"Mouse3625",0
"Mouse3448",0
"Mouse3378",1
"Mouse3227",0
"Mouse3651",0
"Mouse3182",1
"Mouse3304",1
"Mouse3617",0
"Mouse3141",0
"Mouse3552",1
"Mouse3479",0
"Mouse3658",1
"Mouse3539",0
"Mouse3190",0
"Mouse3093",1
"Mouse3097",1
"Mouse3126",1
"Mouse3170",0
"Mouse3229",1
"Mouse3520",1
"Mouse3400",0
"Mouse3582",1
"Mouse3351",1
"Mouse3129",1
"Mouse3153",0
"Mouse3450",0
"Mouse3113",0
"Mouse3586",0
"Mouse3549",0
"Mouse3538",0
"Mouse3201",1
"Mouse3556",1
"Mouse3433",0
"Mouse3247",0
"Mouse3455",0
"Mouse3176",1
"Mouse3344",0
"Mouse3343",0
"Mouse3439",1
"Mouse3629",1
"Mouse3286",0
"Mouse3216",1
"Mouse3588",0
"Mouse3488",0
"Mouse3221",1
"Mouse3142",0
"Mouse3428",0
"Mouse3111",0
"Mouse3353",0
"Mouse3211",0
"Mouse3569",1
"Mouse3280",0
"Mouse3325",0
"Mouse3368",1
"Mouse3553",0
"Mouse3245",1
"Mouse3228",0
"Mouse3135",0
"Mouse3622",1
"Mouse3095",1
"Mouse3369",1
"Mouse3609",1
"Mouse3410",0
"Mouse3302",0
"Mouse3594",0
"Mouse3483",1
"Mouse3197",1
"Mouse3336",0
"Mouse3507",1
"Mouse3305",1
"Mouse3532",1
"Mouse3250",0
"Mouse3194",0
"Mouse3449",0
"Mouse3178",1
"Mouse3198",1
"Mouse3620",1
"Mouse3596",0
"Mouse3638",1
"Mouse3222",1
"Mouse3147",1
"Mouse3163",0
"Mouse3273",0
"Mouse3473",1
"Mouse3578",0
"Mouse3465",1
"Mouse3279",0
"Mouse3558",1
"Mouse3443",0
"Mouse3490",0
"Mouse3460",1
"Mouse3248",0
"Mouse3243",1
"Mouse3431",1
"Mouse3564",0
"Mouse3347",1
"Mouse3565",0
"Mouse3525",0
"Mouse3574",0
"Mouse3329",1
"Mouse3140",1
"Mouse3257",0
"Mouse3328",1
"Mouse3193",0
"Mouse3132",0
"Mouse3220",1
"Mouse3456",0
"Mouse3235",0
"Mouse3499",0
"Mouse3246",1
"Mouse3270",1
"Mouse3608",0
"Mouse3442",1
"Mouse3157",1
"Mouse3642",0
"Mouse3566",0
"Mouse3139",1
"Mouse3282",1
"Mouse3053",1
"Mouse3454",1
"Mouse3363",1
"Mouse3404",1
"Mouse3213",1
"Mouse3654",0
"Mouse3514",0
"Mouse3341",1
"Mouse3401",0
"Mouse3388",0
"Mouse3604",1
"Mouse3161",0
"Mouse3451",1
"Mouse3634",0
"Mouse3482",0
"Mouse3559",1
"Mouse3645",1
"Mouse3264",0
"Mouse3155",1
"Mouse3251",1
"Mouse3297",1
"Mouse3541",1
"Mouse3158",1
"Mouse3294",0
